Station,Elevator Stops,Door,Width,Length,Diagonal
12th St./Oakland,Street at 14th Street/Concourse,"42""","63""","77""","100"""
12th St./Oakland,Street at 11th Street/Concourse,"36""","51""","67""","84"""
12th St./Oakland,Concourse/All Platforms,"47""","61""","66""","90"""
16th St. Mission,Street/Concourse,"42""","56""","67""","85"""
16th St. Mission,Concourse/All Platforms,"48""","60""","70""","90"""
19th St./Oakland,Street at 17th/Concourse,"35""","57""","63""","83"""
19th St./Oakland,Concourse/All Platforms,"47""","61""","67""","88"""
24th St. Mission,Street/Concourse,"42""","56""","67""","85"""
24th St. Mission,Concourse/All Platforms,"48""","60""","70""","90"""
Antioch,Street/Overpass,"48""","64""","92""","110"""
Antioch,Overpass/All Platforms,"48""","64""","90""","109"""
Ashby,Street/All Platforms,"42""","60""","90""","105"""
Ashby,Street/All Platforms,"39""","61""","61""","85"""
Ashby,Adeline Street/Station,"42""","65""","81""","100"""
Balboa Park,Street/All Platforms,"41""","57""","62""","81"""
Bay Fair,Street/All Platforms,"41""","56""","62""","83"""
Berryessa,Street/All Platforms,"42""","68""","76""","101"""
Castro Valley,Street/All Platforms,"40""","66""","99""","120"""
Civic Center,Street/Concourse,"34""","56""","62""","82"""
Civic Center,Concourse/All Platforms,"36""","60""","84""","103"""
Coliseum,Street/All Platforms,"42""","56""","63""","83"""
Coliseum,Street/Coliseum Platform/Connector,"42""","66""","83""","98"""
Colma,Street/All Platforms,"42""","65""","100""","120"""
Colma,Street/All Platforms,"42""","65""","100""","120"""
Concord,Street/All Platforms,"36""","56""","63""","83"""
Daly City,Street/Platform for SF and East Bay,"35""","55""","61""","81"""
Daly City,Street/Platform to SFO/Millbrae,"36""","57""","61""","82"""
Downtown Berkeley,Street/Concourse,"36""","53""","78""","92"""
Downtown Berkeley,Concourse/All Platforms,"36""","54""","75""","91"""
Dublin/Pleasanton,Street/All Platforms,"42""","68""","99""","118"""
El Cerrito Del Norte,Street/Platform to Richmond,"42""","65""","79""","101"""
El Cerrito Del Norte,Street/Platform to all other destinations,"42""","65""","79""","101"""
El Cerrito Plaza,Street/Platform to Richmond,"36""","44""","61""","75"""
El Cerrito Plaza,Street/Platform to all other destinations,"36""","44""","61""","75"""
Embarcadero,Street/Concourse,"34""","60""","64""","87"""
Embarcadero,Concourse/All Platforms,"38""","66""","68""","91"""
Fremont,Street/All Platforms,"35""","58""","67""","88"""
Fruitvale,Street/Platform to Berryessa/DP,"38""","56""","61""","81"""
Fruitvale,Street/Platform to Richmond/SF,"38""","56""","61""","81"""
Glen Park,Street/Platform to Richmond/SF,"45""","57""","57""","78"""
Hayward,Street/Platform to Richmond/SF,"42""","55""","72""","90"""
Hayward,Station/Platform to Berryessa,"42""","55""","72""","90"""
Lafayette,Street/All Platforms,"43""","55""","63""","83"""
Lake Merritt,Street/Concourse,"40""","57""","65""","83"""
Lake Merritt,Concourse/All Platforms,"42""","71""","79""","105"""
MacArthur,Street/Platform to Richmond/PBP,"36""","59""","82""","100"""
MacArthur,Street/Platform to Berryessa/SF,"36""","59""","82""","100"""
Millbrae,East Side Street/Concourse,"42""","60""","100""","120"""
Millbrae,Caltrain/Concourse,"42""","60""","100""","120"""
Millbrae,Concourse/Platform 1-2,"42""","60""","100""","120"""
Millbrae,Concourse/Platform 3,"42""","60""","100""","120"""
Milpitas,Street/All Platforms,"42""","66""","90""","110"""
Montgomery,Street/Concourse,"34""","56""","63""","83"""
Montgomery,Concourse/All Platforms,"43""","52""","71""","87"""
North Berkeley,Street/All Platforms,"39""","56""","62""","84"""
North Concord,Street/All Platforms,"42""","60""","100""","120"""
OAK,Street/All Platforms,"42""","62""","80""","101"""
Orinda,Street/All Platforms,"34.9""","55""","63""","83"""
Pittsburg Bay Point,Street/Concourse,"42""","60""","100""","120"""
Pittsburg Bay Point,Concourse/All Platforms,"42""","60""","100""","120"""
Pittsburg Center,Street/All Platforms,"48""","67""","90""","111"""
Pleasant Hill,Street/Platform to Antioch,"36""","62""","56""","83"""
Pleasant Hill,Street/Platform to SFO/Millbrae,"36""","56""","62""","83"""
Powell,Street/Concourse,"36""","58""","63""","86"""
Powell,Concourse/All Platforms,"48""","52""","71""","88"""
Richmond,Plaza Street/Concourse,"42""","66""","77""","100"""
Richmond,East Street/Concourse,"42""","65""","106""","122"""
Richmond,Concourse/All Platforms,"36""","60""","61""","85"""
Richmond,Concourse/Amtrak,"42""","67""","84""","100"""
Rockridge,Street/All Platforms,"36""","58""","60""","83"""
San Bruno,Street/All Platforms,"42""","65""","100""","120"""
San Leandro,Street/Platform to SF/Richmond,"38""","57""","62""","83"""
San Leandro,Street/Platorm to Berryessa/DP,"38""","57""","61""","81"""
South Hayward,Street/Platform to SF/Overpass to Berryessa),"35""","57""","63""","85"""
South Hayward,Overpass/Berryessa,"35""","57""","63""","85"""
South San Francisco,Street/All Platforms,"42""","61""","100""","120"""
Union City,Street/Platform to SF/Richmond,"42""","69""","79""","102"""
Union City,Street/Platform to Berryessa,"42""","68""","77""","102"""
Walnut Creek,Street/Platform to Antioch,"37""","56""","62""","83"""
Walnut Creek,Street/Platform to SFO/Millbrae,"37""","56""","62""","83"""
Warm Springs,Street/Concourse,"42""","69""","89""","109"""
Warm Springs,Concourse/All Platforms,"42""","69""","89""","109"""
West Dublin/Pleasanton,Concourse/All Platforms,"42""","67""","86""","102"""
West Oakland,Street/Platforms to East Bay,"35""","56""","62""","83"""
West Oakland,Street/Platforms to SFO/Millbrae,"35""","56""","62""","83"""
