Station Name in Elevator Data,stop_id
12th St./Oakland,12TH
16th St. Mission,16TH
19th St./Oakland,19TH
24th St. Mission,24TH
Antioch,ANTC
Ashby,ASHB
Balboa Park,BALB
Bay Fair,BAYF
Berryessa,BERY
Castro Valley,CAST
Civic Center,CIVC
Coliseum,COLS
Colma,COLM
Concord,CONC
Daly City,DALY
Downtown Berkeley,DBRK
Dublin/Pleasanton,DUBL
El Cerrito Del Norte,DELN
El Cerrito Plaza,PLZA
Embarcadero,EMBR
Fremont,FRMT
Fruitvale,FTVL
Glen Park,GLEN
Hayward,HAYW
Lafayette,LAFY
Lake Merritt,LAKE
MacArthur,MCAR
Millbrae,MLBR
Milpitas,MLPT
Montgomery,MONT
North Berkeley,NBRK
North Concord,NCON
OAK,OAKL
Orinda,ORIN
Pittsburg Bay Point,PITT
Pittsburg Center,PCTR
Pleasant Hill,PHIL
Powell,POWL
Richmond,RICH
Rockridge,ROCK
San Bruno,SBRN
San Leandro,SANL
South Hayward,SHAY
South San Francisco,SSAN
Union City,UCTY
Walnut Creek,WCRK
Warm Springs,WARM
West Dublin/Pleasanton,WDUB
West Oakland,WOAK
